Image_Index,Page_URL,Device,Image_Alt_or_Desc,imageUrl,Displayed_Width_px,Displayed_Height_px,Natural_Width_px,Natural_Height_px,Pixelation_Issues
119,https://www.simplilearn.com/applied-ai-course,Mobile,University Certificate,https://www.simplilearn.com/ice9/pdfs/agenda/Purdue-%20New%20PGp/Purdue-NLP/Certificate_Purdue_Applied-Generative-AI-Specialization_Simplex.jpg,345,220,853,549,No
120,https://www.simplilearn.com/applied-ai-course,Mobile,Microsoft Azure Certificate,https://www.simplilearn.com/ice9/certificates/Microsoft-Learn_Certificate_Azure.jpg,345,220,815,557,No
121,https://www.simplilearn.com/applied-ai-course,Mobile,python,https://www.simplilearn.com/ice9/tools_covered/Python-Logo.png,16,9,151,45,No
122,https://www.simplilearn.com/applied-ai-course,Mobile,ChatGPT,https://www.simplilearn.com/ice9/tools_covered/chatgpt2.png,16,9,2000,588,No
123,https://www.simplilearn.com/applied-ai-course,Mobile,Open AI,https://www.simplilearn.com/ice9/tools_covered/openai.png,16,9,432,117,No
124,https://www.simplilearn.com/applied-ai-course,Mobile,Hugging Face,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/hf-logo-with-title%20(1).png,16,9,500,133,No
125,https://www.simplilearn.com/applied-ai-course,Mobile,Gemini,https://www.simplilearn.com/ice9/tools_covered/New%20Folder/Google_Gemini_logo-PNGG.png,16,9,2560,945,No
126,https://www.simplilearn.com/applied-ai-course,Mobile,Microsoft Copilot,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/microsoft-copilot.jpg,16,9,736,669,No
127,https://www.simplilearn.com/applied-ai-course,Mobile,Azure AI Studio,https://www.simplilearn.com/ice9/tools_covered/Gen-AI/azure-ai-studio.png,16,9,600,315,No
128,https://www.simplilearn.com/applied-ai-course,Mobile,Dalle.2,https://www.simplilearn.com/ice9/tools_covered/dalle.2.jpg,16,9,512,156,No
129,https://www.simplilearn.com/applied-ai-course,Mobile,Langchain,https://www.simplilearn.com/ice9/tools_covered/langchain.png,16,9,512,106,No
